i,Estimacion,Error relativo,tiempo (ms)
1,6659.0,0.0538,55.8469
2,6040.0,0.0442,42.8801
3,6516.0,0.0312,42.556
4,6070.0,0.0394,43.2482
5,5981.0,0.0535,42.8939
6,6327.0,0.0013,42.6919
7,5877.0,0.0699,43.7109
8,6025.0,0.0465,48.754
9,6684.0,0.0578,46.566
10,5509.0,0.1282,43.725
11,6363.0,0.007,43.7219
12,6373.0,0.0085,43.942
13,6659.0,0.0538,42.346
14,6266.0,0.0084,42.87
15,5812.0,0.0802,38.8501
16,6003.0,0.05,43.51
17,6363.0,0.007,45.6741
18,6003.0,0.05,43.519
19,6435.0,0.0184,43.2911
20,6419.0,0.0158,43.9949
21,6237.0,0.013,42.629
22,6365.0,0.0073,48.877
23,5926.0,0.0622,46.3948
24,6980.0,0.1046,45.0351
25,5797.0,0.0826,43.8092
26,5784.0,0.0847,42.5689
27,6815.0,0.0785,43.4301
28,6121.0,0.0313,37.138
29,6279.0,0.0063,46.735
30,5788.0,0.084,44.4219
31,6162.0,0.0248,42.9211
32,5964.0,0.0562,43.159
33,6051.0,0.0424,43.498
34,5757.0,0.0889,42.861
35,6312.0,0.0011,42.9802
36,6949.0,0.0997,42.7401
37,6396.0,0.0122,43.138
38,6146.0,0.0274,43.2918
39,7042.0,0.1144,43.143
40,7029.0,0.1124,42.8381
41,6641.0,0.051,43.479
42,6527.0,0.0329,38.342
43,6979.0,0.1044,45.594
44,6288.0,0.0049,43.9959
45,6749.0,0.068,43.3662
46,5748.0,0.0904,43.0632
47,5434.0,0.1401,42.3741
48,6407.0,0.0139,43.4611
49,5757.0,0.0889,42.6941
50,6754.0,0.0688,42.897
51,6172.0,0.0233,45.553
52,6120.0,0.0315,40.8981
53,5997.0,0.051,49.49
54,5759.0,0.0886,37.421
55,6275.0,0.007,41.99
56,5939.0,0.0601,48.7189
57,6547.0,0.0361,45.548
58,5984.0,0.053,44.5869
59,6245.0,0.0117,43.179
60,5892.0,0.0676,42.949
61,6349.0,0.0047,41.1308
62,6860.0,0.0856,43.9029
63,6459.0,0.0222,44.9779
64,6646.0,0.0517,42.6021
65,6262.0,0.009,42.763
66,6526.0,0.0328,44.199
67,6380.0,0.0097,42.1829
68,7095.0,0.1228,43.4792
69,5927.0,0.062,42.1281
70,6988.0,0.1059,49.7129
71,6605.0,0.0453,45.9151
72,5750.0,0.09,57.972
73,6037.0,0.0446,37.2438
74,6179.0,0.0222,37.6189
75,5694.0,0.0989,42.5658
76,6294.0,0.004,42.8581
77,6499.0,0.0285,49.1951
78,6622.0,0.048,45.927
79,6178.0,0.0223,43.6769
80,6485.0,0.0263,43.0381
81,6241.0,0.0123,43.7069
82,6023.0,0.0468,42.6819
83,6051.0,0.0424,43.2661
84,6287.0,0.0051,42.7642
85,6110.0,0.0331,43.004
86,6830.0,0.0809,43.442
87,6428.0,0.0172,43.4828
88,6707.0,0.0614,42.8772
89,6553.0,0.037,42.7802
90,5769.0,0.087,43.0849
91,5395.0,0.1462,43.0019
92,7069.0,0.1187,42.666
93,6583.0,0.0418,43.8359
94,6001.0,0.0503,42.943
95,6385.0,0.0104,42.5692
96,6094.0,0.0356,42.8851
97,5917.0,0.0636,42.7709
98,6930.0,0.0967,42.8252
99,6687.0,0.0582,42.9881
100,5783.0,0.0848,42.6021
